v1	V(vds)	V(vgs)	Id(J1)
1.170000000000003e+001	1.170000e+001	-1.000000e+000	3.673125e-004
1.175000000000003e+001	1.175000e+001	-1.000000e+000	3.673125e-004
1.180000000000003e+001	1.180000e+001	-1.000000e+000	3.673125e-004
1.185000000000003e+001	1.185000e+001	-1.000000e+000	3.673125e-004
1.190000000000003e+001	1.190000e+001	-1.000000e+000	3.673125e-004
1.195000000000004e+001	1.195000e+001	-1.000000e+000	3.673125e-004
1.200000000000004e+001	1.200000e+001	-1.000000e+000	3.673125e-004
1.205000000000004e+001	1.205000e+001	-1.000000e+000	3.673125e-004
1.210000000000004e+001	1.210000e+001	-1.000000e+000	3.673125e-004
1.215000000000004e+001	1.215000e+001	-1.000000e+000	3.673125e-004
1.220000000000004e+001	1.220000e+001	-1.000000e+000	3.673125e-004
1.225000000000004e+001	1.225000e+001	-1.000000e+000	3.673125e-004
1.230000000000004e+001	1.230000e+001	-1.000000e+000	3.673125e-004
1.235000000000004e+001	1.235000e+001	-1.000000e+000	3.673125e-004
1.240000000000004e+001	1.240000e+001	-1.000000e+000	3.673125e-004
1.245000000000004e+001	1.245000e+001	-1.000000e+000	3.673125e-004
1.250000000000004e+001	1.250000e+001	-1.000000e+000	3.673125e-004
1.255000000000004e+001	1.255000e+001	-1.000000e+000	3.673125e-004
1.260000000000004e+001	1.260000e+001	-1.000000e+000	3.673125e-004
1.265000000000005e+001	1.265000e+001	-1.000000e+000	3.673125e-004
1.270000000000005e+001	1.270000e+001	-1.000000e+000	3.673125e-004
1.275000000000005e+001	1.275000e+001	-1.000000e+000	3.673125e-004
1.280000000000005e+001	1.280000e+001	-1.000000e+000	3.673125e-004
1.285000000000005e+001	1.285000e+001	-1.000000e+000	3.673125e-004
1.290000000000005e+001	1.290000e+001	-1.000000e+000	3.673125e-004
1.295000000000005e+001	1.295000e+001	-1.000000e+000	3.673125e-004
1.300000000000005e+001	1.300000e+001	-1.000000e+000	3.673125e-004
1.305000000000005e+001	1.305000e+001	-1.000000e+000	3.673125e-004
1.310000000000005e+001	1.310000e+001	-1.000000e+000	3.673125e-004
1.315000000000005e+001	1.315000e+001	-1.000000e+000	3.673125e-004
1.320000000000005e+001	1.320000e+001	-1.000000e+000	3.673125e-004
1.325000000000005e+001	1.325000e+001	-1.000000e+000	3.673125e-004
1.330000000000005e+001	1.330000e+001	-1.000000e+000	3.673125e-004
1.335000000000006e+001	1.335000e+001	-1.000000e+000	3.673125e-004
1.340000000000006e+001	1.340000e+001	-1.000000e+000	3.673125e-004
1.345000000000006e+001	1.345000e+001	-1.000000e+000	3.673125e-004
1.350000000000006e+001	1.350000e+001	-1.000000e+000	3.673125e-004
1.355000000000006e+001	1.355000e+001	-1.000000e+000	3.673125e-004
1.360000000000006e+001	1.360000e+001	-1.000000e+000	3.673125e-004
1.365000000000006e+001	1.365000e+001	-1.000000e+000	3.673125e-004
1.370000000000006e+001	1.370000e+001	-1.000000e+000	3.673125e-004
1.375000000000006e+001	1.375000e+001	-1.000000e+000	3.673125e-004
1.380000000000006e+001	1.380000e+001	-1.000000e+000	3.673125e-004
1.385000000000006e+001	1.385000e+001	-1.000000e+000	3.673125e-004
1.390000000000006e+001	1.390000e+001	-1.000000e+000	3.673125e-004
1.395000000000006e+001	1.395000e+001	-1.000000e+000	3.673125e-004
1.400000000000006e+001	1.400000e+001	-1.000000e+000	3.673125e-004
1.405000000000007e+001	1.405000e+001	-1.000000e+000	3.673125e-004
1.410000000000007e+001	1.410000e+001	-1.000000e+000	3.673125e-004
1.415000000000007e+001	1.415000e+001	-1.000000e+000	3.673125e-004
1.420000000000007e+001	1.420000e+001	-1.000000e+000	3.673125e-004
1.425000000000007e+001	1.425000e+001	-1.000000e+000	3.673125e-004
1.430000000000007e+001	1.430000e+001	-1.000000e+000	3.673125e-004
1.435000000000007e+001	1.435000e+001	-1.000000e+000	3.673125e-004
1.440000000000007e+001	1.440000e+001	-1.000000e+000	3.673125e-004
1.445000000000007e+001	1.445000e+001	-1.000000e+000	3.673125e-004
1.450000000000007e+001	1.450000e+001	-1.000000e+000	3.673125e-004
1.455000000000007e+001	1.455000e+001	-1.000000e+000	3.673125e-004
1.460000000000007e+001	1.460000e+001	-1.000000e+000	3.673125e-004
1.465000000000007e+001	1.465000e+001	-1.000000e+000	3.673125e-004
1.470000000000007e+001	1.470000e+001	-1.000000e+000	3.673125e-004
1.475000000000008e+001	1.475000e+001	-1.000000e+000	3.673125e-004
1.480000000000008e+001	1.480000e+001	-1.000000e+000	3.673125e-004
1.485000000000008e+001	1.485000e+001	-1.000000e+000	3.673125e-004
1.490000000000008e+001	1.490000e+001	-1.000000e+000	3.673125e-004
1.495000000000008e+001	1.495000e+001	-1.000000e+000	3.673125e-004
1.500000000000008e+001	1.500000e+001	-1.000000e+000	3.673125e-004
1.505000000000008e+001	1.505000e+001	-1.000000e+000	3.673125e-004
1.510000000000008e+001	1.510000e+001	-1.000000e+000	3.673125e-004
1.515000000000008e+001	1.515000e+001	-1.000000e+000	3.673125e-004
1.520000000000008e+001	1.520000e+001	-1.000000e+000	3.673125e-004
1.525000000000008e+001	1.525000e+001	-1.000000e+000	3.673125e-004
1.530000000000008e+001	1.530000e+001	-1.000000e+000	3.673125e-004
1.535000000000008e+001	1.535000e+001	-1.000000e+000	3.673125e-004
1.540000000000008e+001	1.540000e+001	-1.000000e+000	3.673125e-004
1.545000000000009e+001	1.545000e+001	-1.000000e+000	3.673125e-004
1.550000000000009e+001	1.550000e+001	-1.000000e+000	3.673125e-004
1.555000000000009e+001	1.555000e+001	-1.000000e+000	3.673125e-004
1.560000000000009e+001	1.560000e+001	-1.000000e+000	3.673125e-004
1.565000000000009e+001	1.565000e+001	-1.000000e+000	3.673125e-004
1.570000000000009e+001	1.570000e+001	-1.000000e+000	3.673125e-004
1.575000000000009e+001	1.575000e+001	-1.000000e+000	3.673125e-004
1.580000000000009e+001	1.580000e+001	-1.000000e+000	3.673125e-004
1.585000000000009e+001	1.585000e+001	-1.000000e+000	3.673125e-004
1.590000000000009e+001	1.590000e+001	-1.000000e+000	3.673125e-004
1.595000000000009e+001	1.595000e+001	-1.000000e+000	3.673125e-004
1.600000000000000e+001	1.600000e+001	-1.000000e+000	3.673125e-004
