v2,V(vgs),Id(J1)
-2.760000000000069e+000,-2.760000e+000,1.277000e-011
-2.750000000000069e+000,-2.750000e+000,1.276000e-011
-2.740000000000070e+000,-2.740000e+000,1.275000e-011
-2.730000000000070e+000,-2.730000e+000,1.274000e-011
-2.720000000000070e+000,-2.720000e+000,1.273000e-011
-2.710000000000070e+000,-2.710000e+000,1.272000e-011
-2.700000000000070e+000,-2.700000e+000,1.271000e-011
-2.690000000000071e+000,-2.690000e+000,1.270000e-011
-2.680000000000071e+000,-2.680000e+000,1.269000e-011
-2.670000000000071e+000,-2.670000e+000,1.268000e-011
-2.660000000000071e+000,-2.660000e+000,1.267000e-011
-2.650000000000071e+000,-2.650000e+000,1.266000e-011
-2.640000000000072e+000,-2.640000e+000,1.265000e-011
-2.630000000000072e+000,-2.630000e+000,1.264000e-011
-2.620000000000072e+000,-2.620000e+000,1.263000e-011
-2.610000000000072e+000,-2.610000e+000,1.262000e-011
-2.600000000000073e+000,-2.600000e+000,1.261000e-011
-2.590000000000073e+000,-2.590000e+000,1.260000e-011
-2.580000000000073e+000,-2.580000e+000,1.259000e-011
-2.570000000000073e+000,-2.570000e+000,1.258000e-011
-2.560000000000073e+000,-2.560000e+000,1.257000e-011
-2.550000000000074e+000,-2.550000e+000,1.256000e-011
-2.540000000000074e+000,-2.540000e+000,1.255000e-011
-2.530000000000074e+000,-2.530000e+000,1.254000e-011
-2.520000000000074e+000,-2.520000e+000,1.253000e-011
-2.510000000000074e+000,-2.510000e+000,1.252000e-011
-2.500000000000075e+000,-2.500000e+000,1.251000e-011
-2.490000000000075e+000,-2.490000e+000,1.250000e-011
-2.480000000000075e+000,-2.480000e+000,1.249000e-011
-2.470000000000075e+000,-2.470000e+000,1.248000e-011
-2.460000000000076e+000,-2.460000e+000,1.247000e-011
-2.450000000000076e+000,-2.450000e+000,1.246000e-011
-2.440000000000076e+000,-2.440000e+000,1.245000e-011
-2.430000000000076e+000,-2.430000e+000,1.244000e-011
-2.420000000000076e+000,-2.420000e+000,1.243000e-011
-2.410000000000077e+000,-2.410000e+000,1.242000e-011
-2.400000000000077e+000,-2.400000e+000,1.241000e-011
-2.390000000000077e+000,-2.390000e+000,1.240000e-011
-2.380000000000077e+000,-2.380000e+000,1.239000e-011
-2.370000000000077e+000,-2.370000e+000,1.238000e-011
-2.360000000000078e+000,-2.360000e+000,1.237000e-011
-2.350000000000078e+000,-2.350000e+000,1.236000e-011
-2.340000000000078e+000,-2.340000e+000,1.235000e-011
